LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
75.754986,-44.041952,45830.1498,2939.17,3432.8190,2002051801001,555.83,3494.99,1
75.754922,-44.041470,45830.2478,2940.15,3432.8483,2002051801001,555.84,3496.00,1
75.754859,-44.040989,45830.3457,2941.09,3432.8777,2002051801001,555.87,3496.96,1
75.754796,-44.040507,45830.4437,2941.92,3432.9071,2002051801001,555.90,3497.82,1
75.754733,-44.040025,45830.5416,2942.60,3432.9382,2002051801001,555.94,3498.54,1
75.754670,-44.039544,45830.6395,2943.08,3432.9717,2002051801001,555.98,3499.06,1
75.754607,-44.039062,45830.7375,2943.46,3433.0052,2002051801001,556.01,3499.46,1
75.754544,-44.038580,45830.8354,2943.79,3433.0387,2002051801001,556.04,3499.83,1
75.754481,-44.038099,45830.9334,2944.09,3433.0722,2002051801001,556.08,3500.17,1
75.754418,-44.037617,45831.0313,2944.38,3433.1038,2002051801001,556.11,3500.49,1
75.754355,-44.037136,45831.1292,2944.65,3433.1312,2002051801001,556.13,3500.78,1
75.754291,-44.036655,45831.2271,2944.90,3433.1586,2002051801001,556.15,3501.05,1
75.754228,-44.036173,45831.3250,2945.13,3433.1860,2002051801001,556.18,3501.31,1
75.754165,-44.035692,45831.4229,2945.35,3433.2134,2002051801001,556.21,3501.56,1
75.754102,-44.035211,45831.5208,2945.58,3433.2401,2002051801001,556.24,3501.82,1
75.754039,-44.034729,45831.6188,2945.80,3433.2640,2002051801001,556.26,3502.07,1
75.753975,-44.034248,45831.7167,2946.05,3433.2879,2002051801001,556.29,3502.34,1
75.753912,-44.033766,45831.8147,2946.30,3433.3118,2002051801001,556.31,3502.61,1
75.753849,-44.033284,45831.9127,2946.57,3433.3357,2002051801001,556.33,3502.90,1
75.753786,-44.032803,45832.0106,2946.82,3433.3599,2002051801001,556.36,3503.19,1
75.753723,-44.032321,45832.1085,2947.07,3433.3867,2002051801001,556.38,3503.46,1
75.753660,-44.031840,45832.2064,2947.31,3433.4136,2002051801001,556.41,3503.72,1
75.753596,-44.031359,45832.3043,2947.51,3433.4404,2002051801001,556.44,3503.95,1
75.753533,-44.030878,45832.4022,2947.67,3433.4672,2002051801001,556.47,3504.14,1
75.753470,-44.030396,45832.5001,2947.78,3433.4940,2002051801001,556.50,3504.28,1
75.753407,-44.029915,45832.5980,2947.84,3433.5222,2002051801001,556.53,3504.37,1
75.753343,-44.029434,45832.6959,2947.85,3433.5504,2002051801001,556.55,3504.40,1
75.753280,-44.028953,45832.7938,2947.84,3433.5786,2002051801001,556.57,3504.42,1
75.753217,-44.028471,45832.8917,2947.83,3433.6068,2002051801001,556.60,3504.43,1
75.753154,-44.027990,45832.9896,2947.81,3433.6350,2002051801001,556.63,3504.45,1
75.753090,-44.027509,45833.0875,2947.79,3433.6643,2002051801001,556.66,3504.45,1
75.753027,-44.027028,45833.1855,2947.76,3433.6937,2002051801001,556.69,3504.46,1
75.752964,-44.026547,45833.2835,2947.74,3433.7230,2002051801001,556.72,3504.47,1
75.752901,-44.026065,45833.3814,2947.73,3433.7524,2002051801001,556.75,3504.48,1
75.752837,-44.025584,45833.4794,2947.71,3433.7818,2002051801001,556.78,3504.50,1
75.752774,-44.025103,45833.5773,2947.72,3433.8062,2002051801001,556.80,3504.52,1
75.752711,-44.024622,45833.6752,2947.74,3433.8294,2002051801001,556.83,3504.57,1
75.752648,-44.024141,45833.7731,2947.83,3433.8525,2002051801001,556.86,3504.69,1
75.752584,-44.023660,45833.8711,2948.01,3433.8756,2002051801001,556.88,3504.88,1
75.752521,-44.023178,45833.9690,2948.25,3433.8987,2002051801001,556.89,3505.14,1
75.752458,-44.022697,45834.0669,2948.53,3433.9176,2002051801001,556.92,3505.45,1
75.752394,-44.022217,45834.1648,2948.85,3433.9347,2002051801001,556.94,3505.79,1
75.752331,-44.021736,45834.2627,2949.20,3433.9517,2002051801001,556.95,3506.15,1
75.752267,-44.021255,45834.3607,2949.55,3433.9688,2002051801001,556.97,3506.52,1
75.752204,-44.020774,45834.4586,2949.90,3433.9858,2002051801001,556.98,3506.88,1
75.752140,-44.020293,45834.5565,2950.22,3434.0034,2002051801001,557.01,3507.22,1
75.752077,-44.019812,45834.6545,2950.50,3434.0214,2002051801001,557.03,3507.53,1
75.752014,-44.019331,45834.7524,2950.78,3434.0394,2002051801001,557.04,3507.82,1
75.751951,-44.018850,45834.8504,2951.06,3434.0575,2002051801001,557.06,3508.12,1
75.751887,-44.018369,45834.9483,2951.34,3434.0755,2002051801001,557.07,3508.42,1
75.751824,-44.017888,45835.0463,2951.62,3434.0949,2002051801001,557.10,3508.72,1
75.751761,-44.017407,45835.1442,2951.92,3434.1159,2002051801001,557.12,3509.03,1
75.751697,-44.016926,45835.2421,2952.21,3434.1368,2002051801001,557.13,3509.34,1
75.751634,-44.016446,45835.3400,2952.51,3434.1578,2002051801001,557.16,3509.67,1
75.751570,-44.015965,45835.4379,2952.82,3434.1787,2002051801001,557.18,3509.99,1
75.751507,-44.015484,45835.5358,2953.14,3434.1992,2002051801001,557.19,3510.33,1
75.751443,-44.015003,45835.6337,2953.46,3434.2187,2002051801001,557.22,3510.68,1
75.751380,-44.014523,45835.7316,2953.82,3434.2383,2002051801001,557.24,3511.06,1
75.751316,-44.014042,45835.8296,2954.22,3434.2579,2002051801001,557.25,3511.47,1
75.751253,-44.013561,45835.9275,2954.63,3434.2775,2002051801001,557.28,3511.91,1
75.751190,-44.013080,45836.0254,2955.06,3434.2969,2002051801001,557.30,3512.36,1
