Latitude,Longitude,Time,Thick,Elevation,Frame,Surface,Bottom,Quality,Date
69.292643,-50.741146,48637.6833,0,752.0561,2.01E+12,462.12,462.12,1,4/1/2009
69.292644,-50.740957,48637.9017,0,752.0414,2.01E+12,462.12,462.12,1,4/1/2009
69.314851,-50.05611,49095.7501,320.94,557.1369,2.01E+12,79.45,400.38,1,4/1/2009
69.314866,-50.05573,49096.0551,321.52,557.49,2.01E+12,79.45,400.96,1,4/1/2009
69.324721,-49.776541,49321.0262,528.99,805.6311,2.01E+12,147.27,676.27,1,4/1/2009
69.324734,-49.776164,49321.3146,529.76,806.2267,2.01E+12,147.27,677.03,1,4/1/2009
69.158739,-48.982427,55300.0981,2051.47,983.4428,2.01E+12,87.3,2138.77,1,4/1/2009
69.158652,-48.982144,55300.4535,2056.17,983.608,2.01E+12,87.3,2143.47,1,4/1/2009
69.288473,-50.473266,63095.5178,0,689.087,2.01E+12,655.02,655.02,1,4/1/2009
69.288431,-50.473626,63095.7295,0,688.9305,2.01E+12,655.02,655.02,1,4/1/2009
69.279013,-49.809814,62345.3734,324.59,535.4874,2.01E+12,102.29,426.88,1,4/1/2009
69.278956,-49.809464,62345.6195,324.04,534.5228,2.01E+12,102.29,426.33,1,4/1/2009
69.229208,-49.849988,61919.1215,0,373.1941,2.01E+12,125.44,125.44,1,4/2/2009
69.229183,-49.850353,61919.3337,0,373.459,2.01E+12,124.41,124.41,1,4/3/2009
69.270093,-50.940173,45400.6885,0,459.3518,2.01E+12,371.74,371.74,1,4/2/2009
69.270112,-50.939797,45400.9531,0,460.1262,2.01E+12,373.8,373.8,1,4/2/2009
69.130075,-49.814182,46185.0479,0,269.6402,2.01E+12,232.22,232.22,1,4/2/2009
69.130029,-49.813825,46185.3149,0,270.7119,2.01E+12,236.91,236.91,1,4/2/2009
69.15568,-50.019585,50870.7882,0,166.1505,2.01E+12,117.28,117.28,1,4/3/2009
69.155643,-50.019223,50871.0225,0,166.2096,2.01E+12,117.28,117.28,1,4/4/2009
69.165672,-48.90601,46348.9618,1927.9,989.5994,2.01E+12,117.28,2045.17,1,4/4/2009
69.165747,-48.905692,46349.1896,1928.49,989.7265,2.01E+12,117.28,2045.77,1,4/4/2009
69.167243,-49.913019,48998.6428,0,120.1933,2.01E+12,86.19,86.19,1,4/4/2009
69.167289,-49.912663,48998.8879,0,119.752,2.01E+12,82.3,82.3,1,4/4/2009
69.216873,-48.083454,50228.6762,2169.39,1487.7896,2.01E+12,97.28,2266.67,1,4/4/2009
69.21687,-48.083075,50228.9032,2165.53,1487.4449,2.01E+12,97.28,2262.81,1,4/4/2009
69.147451,-49.928561,52362.6815,0,93.594,2.01E+12,57.31,57.31,1,4/4/2009
69.147486,-49.928196,52362.9311,0,93.8449,2.01E+12,57.31,57.31,1,4/4/2009
69.150564,-49.896166,52385.9839,0,130.8174,2.01E+12,87.3,87.3,1,4/4/2009
69.150621,-49.895828,52386.2526,0,130.9177,2.01E+12,87.3,87.3,1,4/4/2009
69.304253,-50.364608,44209.9636,0,680.8434,2.01E+12,304.51,304.51,1,4/4/2009
69.304274,-50.364236,44210.1926,0,681.0113,2.01E+12,304.29,304.29,1,4/4/2009
